Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Gerard Gallant,Florida Panthers,82,47,26,0,9,
Jon Cooper,Tampa Bay Lightning,82,46,31,0,5,
Jeff Blashill,Detroit Red Wings,82,41,30,0,11,
Claude Julien,Boston Bruins,82,42,31,0,9,
Dave Cameron,Ottawa Senators,82,38,35,0,9,
Michel Therrien,Montreal Canadiens,82,38,38,0,6,
Dan Bylsma,Buffalo Sabres,82,35,36,0,11,
Mike Babcock,Toronto Maple Leafs,82,29,42,0,11,
Lindy Ruff,Dallas Stars,82,50,23,0,9,
Ken Hitchcock,St. Louis Blues,82,49,24,0,9,
Joel Quenneville,Chicago Blackhawks,82,47,26,0,9,
Peter Laviolette,Nashville Predators,82,41,27,0,14,
Mike Yeo,Minnesota Wild,55,23,22,0,10,Replaced Midseason
John Torchetti,Minnesota Wild,27,15,11,0,1,Midseason Replacement
Patrick Roy,Colorado Avalanche,82,39,39,0,4,
Paul Maurice,Winnipeg Jets,82,35,39,0,8,
Barry Trotz,Washington Capitals,82,56,18,0,8,
Mike Johnston,Pittsburgh Penguins,28,15,10,0,3,Replaced Midseason
Mike Sullivan,Pittsburgh Penguins,54,33,16,0,5,Midseason Replacement
Alain Vigneault,New York Rangers,82,46,27,0,9,
Jack Capuano,New York Islanders,82,45,27,0,10,
Dave Hakstol,Philadelphia Flyers,82,41,27,0,14,
Bill Peters,Carolina Hurricanes,82,35,31,0,16,
John Hynes,New Jersey Devils,82,38,36,0,8,
Todd Richards,Columbus Blue Jackets,7,0,7,0,0,Replaced Midseason
John Tortorella,Columbus Blue Jackets,75,34,33,0,8,Midseason Replacement
Bruce Boudreau,Anaheim Ducks,82,46,25,0,11,
Darryl Sutter,Los Angeles Kings,82,48,28,0,6,
Peter DeBoer,San Jose Sharks,82,46,30,0,6,
Dave Tippett,Arizona Coyotes,82,35,39,0,8,
Bob Hartley,Calgary Flames,82,35,40,0,7,
Willie Desjardins,Vancouver Canucks,82,31,38,0,13,
Todd McLellan,Edmonton Oilers,82,31,43,0,8,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
