Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
9/29/2007,Anaheim Ducks,1,Los Angeles Kings,4,,17300,,NHL Premiere Series
9/30/2007,Los Angeles Kings,1,Anaheim Ducks,4,,17300,,NHL Premiere Series
10/3/2007,Dallas Stars,3,Colorado Avalanche,4,,17487,,
10/3/2007,Montreal Canadiens,3,Carolina Hurricanes,2,OT,18680,,
10/3/2007,Anaheim Ducks,2,Detroit Red Wings,3,SO,17610,,
10/3/2007,Ottawa Senators,4,Toronto Maple Leafs,3,OT,19476,,
10/4/2007,Florida Panthers,2,New York Rangers,5,,18200,,
10/4/2007,Toronto Maple Leafs,2,Ottawa Senators,3,,19857,,
10/4/2007,St. Louis Blues,2,Phoenix Coyotes,3,,17799,,
10/4/2007,New Jersey Devils,1,Tampa Bay Lightning,3,,19454,,
10/4/2007,Philadelphia Flyers,3,Calgary Flames,2,,19289,,
10/4/2007,Chicago Blackhawks,0,Minnesota Wild,1,,18568,,
10/4/2007,Colorado Avalanche,0,Nashville Predators,4,,16363,,
10/4/2007,San Jose Sharks,2,Edmonton Oilers,3,SO,16839,,
10/5/2007,Pittsburgh Penguins,1,Carolina Hurricanes,4,,17816,,
10/5/2007,Boston Bruins,1,Dallas Stars,4,,18532,,
10/5/2007,Washington Capitals,3,Atlanta Thrashers,1,,18707,,
10/5/2007,San Jose Sharks,3,Vancouver Canucks,1,,18630,,
10/5/2007,Anaheim Ducks,0,Columbus Blue Jackets,4,,17852,,
10/5/2007,New York Islanders,6,Buffalo Sabres,4,,18690,,
10/6/2007,Columbus Blue Jackets,2,Minnesota Wild,3,,18568,,
10/6/2007,Buffalo Sabres,2,New York Islanders,3,,16234,,
10/6/2007,Atlanta Thrashers,2,Tampa Bay Lightning,5,,19220,,
10/6/2007,Dallas Stars,1,Nashville Predators,5,,13079,,
10/6/2007,Philadelphia Flyers,3,Edmonton Oilers,5,,16839,,
10/6/2007,Boston Bruins,3,Phoenix Coyotes,1,,14087,,
10/6/2007,New Jersey Devils,4,Florida Panthers,1,,19250,,
10/6/2007,Anaheim Ducks,4,Pittsburgh Penguins,5,,17132,,
10/6/2007,New York Rangers,0,Ottawa Senators,2,,19336,,
10/6/2007,Carolina Hurricanes,0,Washington Capitals,2,,16741,,
10/6/2007,St. Louis Blues,5,Los Angeles Kings,3,,18118,,
10/6/2007,Detroit Red Wings,3,Chicago Blackhawks,4,SO,18768,,
10/6/2007,Montreal Canadiens,3,Toronto Maple Leafs,4,OT,19415,,
10/6/2007,Vancouver Canucks,4,Calgary Flames,3,OT,19289,,
10/7/2007,San Jose Sharks,2,Colorado Avalanche,6,,15876,,
10/8/2007,Edmonton Oilers,2,Detroit Red Wings,4,,16913,,
10/8/2007,Washington Capitals,2,New York Islanders,1,,16234,,
10/8/2007,New Jersey Devils,2,Ottawa Senators,4,,18260,,
10/9/2007,Carolina Hurricanes,7,Toronto Maple Leafs,1,,19224,,
10/10/2007,San Jose Sharks,2,Chicago Blackhawks,1,,10122,,
10/10/2007,Calgary Flames,2,Detroit Red Wings,4,,16629,,
10/10/2007,Boston Bruins,1,Anaheim Ducks,2,,17285,,
10/10/2007,Los Angeles Kings,1,Dallas Stars,5,,16129,,
10/10/2007,New York Rangers,1,New York Islanders,2,,15295,,
10/10/2007,Nashville Predators,1,St. Louis Blues,4,,19150,,
10/10/2007,Florida Panthers,1,Tampa Bay Lightning,2,,18540,,
10/10/2007,Ottawa Senators,3,Atlanta Thrashers,1,,12751,,
10/10/2007,Montreal Canadiens,3,Pittsburgh Penguins,2,,17006,,
10/10/2007,Phoenix Coyotes,0,Columbus Blue Jackets,3,,11944,,
10/10/2007,Edmonton Oilers,0,Minnesota Wild,2,,18568,,
10/10/2007,Philadelphia Flyers,8,Vancouver Canucks,2,,18630,,
10/11/2007,New York Islanders,1,Toronto Maple Leafs,8,,19319,,
10/11/2007,Atlanta Thrashers,0,Buffalo Sabres,6,,18690,,
10/11/2007,New Jersey Devils,0,Florida Panthers,3,,10847,,
10/11/2007,Carolina Hurricanes,5,Ottawa Senators,3,,18268,,
10/11/2007,Phoenix Coyotes,6,Nashville Predators,3,,12155,,
10/12/2007,Washington Capitals,1,New York Rangers,3,,18200,,
10/12/2007,Colorado Avalanche,1,St. Louis Blues,4,,19150,,
10/12/2007,Chicago Blackhawks,3,Detroit Red Wings,2,,17696,,
10/12/2007,Vancouver Canucks,5,Edmonton Oilers,2,,16839,,
10/12/2007,Boston Bruins,8,Los Angeles Kings,6,,17064,,
10/12/2007,Calgary Flames,3,Dallas Stars,2,OT,17132,,
10/13/2007,Boston Bruins,2,San Jose Sharks,1,,17496,,
10/13/2007,Columbus Blue Jackets,1,Colorado Avalanche,5,,16153,,
10/13/2007,New York Islanders,1,Philadelphia Flyers,3,,19714,,
10/13/2007,Edmonton Oilers,1,Vancouver Canucks,4,,18630,,
10/13/2007,Washington Capitals,3,Buffalo Sabres,7,,18690,,
10/13/2007,Carolina Hurricanes,3,Montreal Canadiens,1,,21273,,
10/13/2007,Ottawa Senators,3,New York Rangers,1,,18200,,
10/13/2007,Minnesota Wild,3,Phoenix Coyotes,2,,12088,,
10/13/2007,Tampa Bay Lightning,4,Florida Panthers,6,,15801,,
10/13/2007,New Jersey Devils,6,Atlanta Thrashers,5,,15606,,
10/13/2007,Calgary Flames,7,Nashville Predators,4,,13152,,
10/13/2007,Pittsburgh Penguins,6,Toronto Maple Leafs,4,,19479,,
10/13/2007,Dallas Stars,1,Chicago Blackhawks,2,OT,11868,,
10/14/2007,Minnesota Wild,2,Anaheim Ducks,0,,17174,,
10/14/2007,Detroit Red Wings,4,Los Angeles Kings,1,,17215,,
10/15/2007,Detroit Red Wings,3,Anaheim Ducks,6,,17174,,
10/15/2007,San Jose Sharks,4,Vancouver Canucks,2,,18630,,
10/15/2007,Toronto Maple Leafs,4,Buffalo Sabres,5,OT,18217,,
10/16/2007,Atlanta Thrashers,0,Philadelphia Flyers,4,,18933,,
10/16/2007,Calgary Flames,4,Colorado Avalanche,5,SO,16722,,
10/16/2007,Florida Panthers,2,Montreal Canadiens,1,SO,21273,,
10/16/2007,Minnesota Wild,3,Los Angeles Kings,4,SO,14239,,
10/17/2007,Nashville Predators,1,Anaheim Ducks,3,,17174,,
10/17/2007,St. Louis Blues,3,Chicago Blackhawks,1,,10002,,
10/17/2007,New Jersey Devils,5,Pittsburgh Penguins,4,,16990,,
10/17/2007,Dallas Stars,3,Columbus Blue Jackets,2,SO,11820,,
10/18/2007,Florida Panthers,2,Toronto Maple Leafs,3,,19349,,
10/18/2007,Tampa Bay Lightning,1,Boston Bruins,4,,16363,,
10/18/2007,New York Rangers,3,Atlanta Thrashers,5,,14076,,
10/18/2007,Los Angeles Kings,3,Calgary Flames,4,,19289,,
10/18/2007,Montreal Canadiens,3,Ottawa Senators,4,,20019,,
10/18/2007,Edmonton Oilers,4,Phoenix Coyotes,2,,10448,,
10/18/2007,Detroit Red Wings,4,San Jose Sharks,2,,17496,,
10/18/2007,New Jersey Devils,0,Philadelphia Flyers,4,,19113,,
10/18/2007,New York Islanders,5,Washington Capitals,2,,11036,,
10/19/2007,Columbus Blue Jackets,3,Buffalo Sabres,0,,18690,,
10/19/2007,Colorado Avalanche,3,Chicago Blackhawks,5,,13519,,
10/19/2007,Los Angeles Kings,4,Vancouver Canucks,2,,18630,,
10/19/2007,Carolina Hurricanes,3,Pittsburgh Penguins,4,SO,17132,,
10/20/2007,Buffalo Sabres,2,Montreal Canadiens,4,,21273,,
10/20/2007,Atlanta Thrashers,2,Tampa Bay Lightning,6,,19420,,
10/20/2007,Pittsburgh Penguins,2,Washington Capitals,1,,18277,,
10/20/2007,Edmonton Oilers,1,Calgary Flames,4,,19289,,
10/20/2007,Anaheim Ducks,1,Dallas Stars,3,,18057,,
10/20/2007,Florida Panthers,1,Ottawa Senators,4,,19904,,
10/20/2007,Minnesota Wild,3,St. Louis Blues,1,,19150,,
10/20/2007,Nashville Predators,0,San Jose Sharks,3,,17496,,
10/20/2007,Detroit Red Wings,5,Phoenix Coyotes,2,,14154,,
10/20/2007,Chicago Blackhawks,6,Toronto Maple Leafs,4,,19314,,
10/20/2007,New York Rangers,0,Boston Bruins,1,SO,15266,,
10/20/2007,New Jersey Devils,3,New York Islanders,4,OT,14092,,
10/20/2007,Carolina Hurricanes,2,Philadelphia Flyers,3,OT,19615,,
10/21/2007,Colorado Avalanche,2,Minnesota Wild,3,,18568,,
10/21/2007,Vancouver Canucks,4,Columbus Blue Jackets,1,,12667,,
10/22/2007,Vancouver Canucks,1,Carolina Hurricanes,3,,15532,,
10/22/2007,Boston Bruins,1,Montreal Canadiens,6,,21273,,
10/22/2007,San Jose Sharks,4,Calgary Flames,1,,19289,,
10/23/2007,Anaheim Ducks,2,St. Louis Blues,4,,14764,,
10/23/2007,Colorado Avalanche,4,Edmonton Oilers,2,,16839,,
10/23/2007,Nashville Predators,0,Los Angeles Kings,6,,14026,,
10/23/2007,New York Rangers,0,Pittsburgh Penguins,1,,17012,,
10/23/2007,Columbus Blue Jackets,7,Chicago Blackhawks,4,,10884,,
10/23/2007,Atlanta Thrashers,5,Toronto Maple Leafs,4,SO,19210,,
