Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/11/2012,Philadelphia Flyers,4,Pittsburgh Penguins,3,OT,18565,,
4/11/2012,Detroit Red Wings,2,Nashville Predators,3,,17113,,
4/11/2012,Los Angeles Kings,4,Vancouver Canucks,2,,18890,,
4/12/2012,Washington Capitals,0,Boston Bruins,1,OT,17565,,
4/12/2012,Ottawa Senators,2,New York Rangers,4,,18200,,
4/12/2012,Chicago Blackhawks,2,Phoenix Coyotes,3,OT,17138,,
4/12/2012,San Jose Sharks,3,St. Louis Blues,2,2OT,19333,,
4/13/2012,New Jersey Devils,3,Florida Panthers,2,,19119,,
4/13/2012,Detroit Red Wings,3,Nashville Predators,2,,17113,,
4/13/2012,Philadelphia Flyers,8,Pittsburgh Penguins,5,,18626,,
4/13/2012,Los Angeles Kings,4,Vancouver Canucks,2,,18890,,
4/14/2012,Chicago Blackhawks,4,Phoenix Coyotes,3,OT,17539,,
4/14/2012,San Jose Sharks,0,St. Louis Blues,3,,19500,,
4/14/2012,Ottawa Senators,3,New York Rangers,2,OT,18200,,
4/14/2012,Washington Capitals,2,Boston Bruins,1,2OT,17565,,
4/15/2012,Nashville Predators,3,Detroit Red Wings,2,,20066,,
4/15/2012,New Jersey Devils,2,Florida Panthers,4,,19248,,
4/15/2012,Vancouver Canucks,0,Los Angeles Kings,1,,18352,,
4/15/2012,Pittsburgh Penguins,4,Philadelphia Flyers,8,,20092,,
4/16/2012,New York Rangers,1,Ottawa Senators,0,,20182,,
4/16/2012,St. Louis Blues,4,San Jose Sharks,3,,17562,,
4/16/2012,Boston Bruins,4,Washington Capitals,3,,18506,,
4/17/2012,Phoenix Coyotes,3,Chicago Blackhawks,2,OT,21627,,
4/17/2012,Florida Panthers,4,New Jersey Devils,3,,17625,,
4/17/2012,Nashville Predators,3,Detroit Red Wings,1,,20066,,
4/18/2012,Vancouver Canucks,3,Los Angeles Kings,1,,18409,,
4/18/2012,New York Rangers,2,Ottawa Senators,3,OT,20340,,
4/18/2012,Pittsburgh Penguins,10,Philadelphia Flyers,3,,20172,,
4/19/2012,Phoenix Coyotes,3,Chicago Blackhawks,2,OT,22111,,
4/19/2012,Florida Panthers,0,New Jersey Devils,4,,17625,,
4/19/2012,St. Louis Blues,2,San Jose Sharks,1,,17562,,
4/19/2012,Boston Bruins,1,Washington Capitals,2,,18506,,
4/20/2012,Philadelphia Flyers,2,Pittsburgh Penguins,3,,18628,,
4/20/2012,Detroit Red Wings,1,Nashville Predators,2,,17527,,
4/21/2012,Washington Capitals,4,Boston Bruins,3,,17565,,
4/21/2012,New Jersey Devils,0,Florida Panthers,3,,19513,,
4/21/2012,Ottawa Senators,2,New York Rangers,0,,18200,,
4/21/2012,Chicago Blackhawks,2,Phoenix Coyotes,1,OT,17746,,
4/21/2012,San Jose Sharks,1,St. Louis Blues,3,,19490,,
4/22/2012,Pittsburgh Penguins,1,Philadelphia Flyers,5,,20127,,
4/22/2012,Los Angeles Kings,2,Vancouver Canucks,1,OT,18890,,
4/22/2012,Boston Bruins,4,Washington Capitals,3,OT,18506,,
4/23/2012,New York Rangers,3,Ottawa Senators,2,,20500,,
4/23/2012,Phoenix Coyotes,4,Chicago Blackhawks,0,,21636,,
4/24/2012,Florida Panthers,2,New Jersey Devils,3,OT,17625,,
4/25/2012,Washington Capitals,2,Boston Bruins,1,OT,17565,,
4/26/2012,New Jersey Devils,3,Florida Panthers,2,2OT,19313,,
4/26/2012,Ottawa Senators,1,New York Rangers,2,,18200,,
4/27/2012,Nashville Predators,3,Phoenix Coyotes,4,OT,17187,,
4/28/2012,Washington Capitals,1,New York Rangers,3,,18200,,
4/28/2012,Los Angeles Kings,3,St. Louis Blues,1,,19391,,
4/29/2012,New Jersey Devils,3,Philadelphia Flyers,4,OT,19972,,
4/29/2012,Nashville Predators,3,Phoenix Coyotes,5,,17217,,
4/30/2012,Washington Capitals,3,New York Rangers,2,,18200,,
4/30/2012,Los Angeles Kings,5,St. Louis Blues,2,,19366,,
5/1/2012,New Jersey Devils,4,Philadelphia Flyers,1,,20131,,
5/2/2012,Phoenix Coyotes,0,Nashville Predators,2,,17113,,
5/2/2012,New York Rangers,2,Washington Capitals,1,3OT,18506,,
5/3/2012,St. Louis Blues,2,Los Angeles Kings,4,,18362,,
5/3/2012,Philadelphia Flyers,3,New Jersey Devils,4,OT,17625,,
5/4/2012,Phoenix Coyotes,1,Nashville Predators,0,,17113,,
5/5/2012,New York Rangers,2,Washington Capitals,3,,18506,,
5/6/2012,St. Louis Blues,1,Los Angeles Kings,3,,18373,,
5/6/2012,Philadelphia Flyers,2,New Jersey Devils,4,,17625,,
5/7/2012,Washington Capitals,2,New York Rangers,3,OT,18200,,
5/7/2012,Nashville Predators,1,Phoenix Coyotes,2,,17182,,
5/8/2012,New Jersey Devils,3,Philadelphia Flyers,1,,19818,,
5/9/2012,New York Rangers,1,Washington Capitals,2,,18506,,
5/12/2012,Washington Capitals,1,New York Rangers,2,,18200,,
5/13/2012,Los Angeles Kings,4,Phoenix Coyotes,2,,17134,,
5/14/2012,New Jersey Devils,0,New York Rangers,3,,18200,,
5/15/2012,Los Angeles Kings,4,Phoenix Coyotes,0,,17149,,
5/16/2012,New Jersey Devils,3,New York Rangers,2,,18200,,
5/17/2012,Phoenix Coyotes,1,Los Angeles Kings,2,,18367,,
5/19/2012,New York Rangers,3,New Jersey Devils,0,,17625,,
5/20/2012,Phoenix Coyotes,2,Los Angeles Kings,0,,18402,,
5/21/2012,New York Rangers,1,New Jersey Devils,4,,17625,,
5/22/2012,Los Angeles Kings,4,Phoenix Coyotes,3,OT,17148,,
5/23/2012,New Jersey Devils,5,New York Rangers,3,,18200,,
5/25/2012,New York Rangers,2,New Jersey Devils,3,OT,17625,,
5/30/2012,Los Angeles Kings,2,New Jersey Devils,1,OT,17625,,
6/2/2012,Los Angeles Kings,2,New Jersey Devils,1,OT,17625,,
6/4/2012,New Jersey Devils,0,Los Angeles Kings,4,,18764,,
6/6/2012,New Jersey Devils,3,Los Angeles Kings,1,,18867,,
6/9/2012,Los Angeles Kings,1,New Jersey Devils,2,,17625,,
6/11/2012,New Jersey Devils,1,Los Angeles Kings,6,,18858,,
